T(degC),P(mmHg),O3(ppm),SO2(pub),PM25(ug/m3),category
13.3,753.733333,0.034503,1.013592,7.483333,1.0
10.55463,746.522936,0.039812,0.911948,7.195726,2.0
7.575424,734.228814,0.040139,0.389137,7.862931,1.0
7.625714,717.771429,0.048843,0.538688,8.901709,1.0
9.545455,761.318182,0.035251,1.422714,9.942105,1.0
8.913274,746.274336,0.04117,0.065794,6.35,1
6.081967,705.213115,0.039946,0.357701,4.344068,1
7.72459,741.491803,0.042329,2.404388,7.889286,1.0
6.200962,726.028846,0.038576,0.139978,4.654808,1.0
12.682178,754.646465,0.032235,1.089599,8.6375,2.0
3.508621,710.448276,0.037799,0.757551,4.863265,1
4.885965,710.22807,0.042118,0.562595,5.713928,1.0
8.368317,661.585859,0.040815,0.275844,4.38012,1.0
5.340984,689.557377,0.045111,0.170463,4.64918,1.0
3.967227,735.630252,0.038292,0.223641,6.474587,1.0
2.144444,706.074074,0.042208,0.548057,6.137535,1
10.778351,754.051546,0.027408,0.791681,6.601099,2.0
-16.035,749.3,0.026054,7.029754,9.161765,1.0
